,start_node,end_node,distance
132,0,10,10.228211
133,0,7,28.288681
279,1,2,6.092285
280,2,11,12.057994
281,2,8,26.486349
285,4,13,12.057994
286,4,9,26.486111
437,5,12,13.373302
438,5,6,12.499923
439,5,179,2.88475
620,6,18,15.64315
621,6,13,32.735889
723,7,14,9.535697
724,7,11,27.977066
726,8,15,12.058446
727,8,12,20.570953
729,9,17,12.918471
973,10,138,20.251976
974,10,150,10.786854
975,10,14,26.486452
1122,11,19,10.780429
1123,11,15,26.486452
1124,12,20,12.382975
1125,13,16,22.040682
1305,14,22,11.508899
1306,14,19,28.288208
1470,15,20,17.26811
1471,15,25,14.423682
1472,16,26,12.713782
1473,16,17,6.249961
1567,17,21,13.988723
1670,18,27,10.228211
1671,18,26,44.955086
1771,19,28,11.508899
1772,19,25,22.43446
1773,20,23,8.110705
1774,20,177,20.66338
1775,21,24,20.570953
1948,22,150,25.014492
1949,22,29,8.906178
1950,22,28,28.288208
1951,23,41,30.266296
1952,23,27,22.040682
2241,25,30,12.391486
2242,26,33,12.058353
2358,27,32,10.780429
2359,27,33,43.749512
2461,28,31,8.50706
2462,28,30,19.10956
2541,29,155,26.501726
2542,29,166,12.06419
2543,29,31,29.766632
2843,30,34,10.352132
3021,31,38,10.780429
3022,31,34,14.799591
3023,32,36,9.535034
3024,32,37,43.459446
3025,33,37,9.535269
3308,34,40,9.535269
3448,35,42,12.391815
3449,35,177,14.409026
3450,36,43,10.780429
3451,36,44,45.234848
3452,37,44,10.228357
3505,38,166,29.485849
3506,38,40,14.332017
3507,39,41,17.26811
3713,40,46,10.326518
3714,40,42,13.98906
3715,41,49,11.262623
3716,41,43,15.795337
3849,42,47,6.356638
3850,42,49,31.589733
3941,43,48,17.26811
3942,44,51,10.780223
3943,44,53,54.76572
4078,45,297,6.988347
4079,45,298,15.41308
4080,45,126,1.471188
4091,46,172,39.000458
4092,46,192,13.518097
4169,47,50,8.261221
4170,47,52,31.590334
4171,48,54,10.228211
4172,48,51,27.977545
4337,49,52,6.356833
4338,49,54,31.249588
4451,50,201,16.480324
4452,50,55,33.441578
4453,51,57,11.567531
4454,51,58,54.462624
4596,52,55,8.337697
4597,52,56,31.249588
4598,53,58,9.535151
4683,54,56,6.356833
4684,54,57,28.288328
4990,55,63,10.228211
4991,55,60,32.735996
4992,56,60,7.61089
4993,56,59,27.977066
5046,57,59,5.175725
